tick;time_seconds;evacuated_count0;evacuated_count1;evacuated_count2;evacuated_count3;evacuated_count4;evacuated_count5;evacuated_count6;evacuated_count7;evacuated_count8;evacuated_count9;evacuated_count10;evacuated_count11;evacuated_count12;evacuated_count13;evacuated_count14;evacuated_count15;evacuated_count16;evacuated_count17;evacuated_count18;evacuated_count19;evacuated_count20;evacuated_count21;evacuated_count22;evacuated_count23;evacuated_count24;evacuated_count25;evacuated_count26;evacuated_count27;evacuated_count28;evacuated_count29;evacuated_count30;evacuated_count31;evacuated_count32;evacuated_count33;evacuated_count34;evacuated_count35;evacuated_count36;evacuated_count37;evacuated_count38;evacuated_count39;evacuated_count40;average;std
2963;1481,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;8,0;7;14,0;9,0;8,0;5,0;10,0;7,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;8,0;10,21951219512195;2,815246
2964;1482,0;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;9,0;10,292682926829269;2,759021
2965;1482,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;7,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;13,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;9,0;10,292682926829269;2,759021
2966;1483,0;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;10,0;9,0;9,0;16,0;9,0;4,0;9,0;10,341463414634147;2,762334
2967;1483,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,365853658536585;2,763658
2968;1484,0;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,365853658536585;2,763658
2969;1484,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,365853658536585;2,763658
2970;1485,0;6,0;14,0;12,0;8,0;13,0;9,0;10,0;18,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,365853658536585;2,763658
2971;1485,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,390243902439025;2,836177
2972;1486,0;6,0;14,0;12,0;8,0;13,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,390243902439025;2,836177
